"CaseID","Survey","Age","Sex","HispanicLatino","Race","Race_1","Race_2","Race_3","Race_4","Race_5","Race_6"
"Survey1Emerging000034","S1",18,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000035","S1",21,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000036","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000037","S1",20,1,0,"Choose one or more races that you consider yourself to be. - Another race. (please specify)",0,0,0,0,0,1
"Survey1Emerging000038","S1",19,-1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000039","S1",22,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000040","S1",24,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000041","S1",21,1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000042","S1",23,1,1,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000043","S1",20,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000044","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000045","S1",25,1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000046","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000047","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000048","S1",20,-1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000049","S1",20,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000050","S1",24,1,1,"Choose one or more races that you consider yourself to be. - Another race. (please specify)",0,0,0,0,0,1
"Survey1Emerging000051","S1",25,-1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000052","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000053","S1",23,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000054","S1",20,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000055","S1",22,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000056","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000057","S1",23,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000058","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000059","S1",19,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000060","S1",24,1,0,"Choose one or more races that you consider yourself to be. - Native Hawaiian or Pacific Islander",0,0,0,0,1,0
"Survey1Emerging000061","S1",22,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000062","S1",24,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000063","S1",21,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000064","S1",23,-1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000065","S1",21,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000066","S1",24,-1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000067","S1",24,-1,1,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000068","S1",20,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000069","S1",20,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000070","S1",18,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000071","S1",22,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000072","S1",22,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000073","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000074","S1",22,-1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000075","S1",24,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000076","S1",19,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000077","S1",24,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000078","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000079","S1",24,1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000080","S1",19,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000081","S1",21,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000082","S1",20,1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000083","S1",19,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000084","S1",22,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000085","S1",25,-1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000086","S1",21,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000087","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000088","S1",19,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000089","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000090","S1",19,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000091","S1",24,-1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000092","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000093","S1",24,1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000094","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000095","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000096","S1",20,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000097","S1",24,1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000098","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000099","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000100","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000101","S1",19,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000102","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000103","S1",21,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000104","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000105","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000106","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000107","S1",19,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000108","S1",24,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000109","S1",24,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000110","S1",24,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000111","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000112","S1",19,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000113","S1",20,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000114","S1",18,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000115","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000116","S1",20,-1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000117","S1",22,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000118","S1",21,1,0,"Multiple races",1,0,0,1,0,0
"Survey1Emerging000119","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000120","S1",24,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000121","S1",24,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000122","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000123","S1",23,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000124","S1",24,1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000125","S1",22,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000126","S1",22,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000127","S1",23,1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000128","S1",19,1,0,"Multiple races",1,1,0,0,0,0
"Survey1Emerging000129","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000130","S1",25,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000131","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000132","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000133","S1",22,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000134","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000135","S1",18,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000136","S1",22,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000137","S1",23,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000138","S1",24,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000139","S1",24,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000140","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000141","S1",18,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000142","S1",24,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000143","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000144","S1",20,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000145","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000146","S1",22,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000147","S1",24,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000148","S1",21,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000149","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000150","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000151","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000152","S1",25,1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000153","S1",22,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000154","S1",20,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000155","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000156","S1",24,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000157","S1",24,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000158","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000159","S1",19,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000160","S1",19,1,0,"Choose one or more races that you consider yourself to be. - Asian or Asian American",0,0,0,1,0,0
"Survey1Emerging000161","S1",24,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000162","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000163","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000164","S1",20,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000165","S1",20,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000166","S1",24,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000167","S1",21,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000168","S1",24,1,1,"Choose one or more races that you consider yourself to be. - Asian or Asian American",0,0,0,1,0,0
"Survey1Emerging000169","S1",21,-1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000170","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000171","S1",19,1,1,"Multiple races",1,0,1,0,0,0
"Survey1Emerging000172","S1",24,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000173","S1",23,1,1,"Choose one or more races that you consider yourself to be. - Another race. (please specify)",0,0,0,0,0,1
"Survey1Emerging000174","S1",24,1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000175","S1",19,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000176","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000177","S1",25,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000178","S1",24,1,1,"Choose one or more races that you consider yourself to be. - Asian or Asian American",0,0,0,1,0,0
"Survey1Emerging000179","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000180","S1",23,1,0,"Multiple races",1,1,0,0,1,0
"Survey1Emerging000181","S1",20,-1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000182","S1",25,-1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000183","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000184","S1",22,1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000185","S1",23,-1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000186","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000187","S1",25,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000188","S1",19,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000189","S1",22,-1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000190","S1",20,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000191","S1",24,1,0,"Multiple races",1,1,0,0,0,0
"Survey1Emerging000192","S1",23,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000193","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000194","S1",25,1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000195","S1",18,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000196","S1",25,1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000197","S1",24,1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000198","S1",19,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000199","S1",25,-1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000200","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000201","S1",22,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000202","S1",20,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000203","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000204","S1",23,-1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000205","S1",19,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000206","S1",21,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000207","S1",23,1,1,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000208","S1",22,1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000209","S1",24,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000210","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000211","S1",18,1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000212","S1",19,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000213","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000214","S1",24,-1,0,"Choose one or more races that you consider yourself to be. - Asian or Asian American",0,0,0,1,0,0
"Survey1Emerging000215","S1",20,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000216","S1",24,1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000217","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000218","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000219","S1",25,-1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000220","S1",19,1,1,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000221","S1",19,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000222","S1",22,1,0,"Multiple races",1,0,1,0,0,0
"Survey1Emerging000223","S1",21,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000224","S1",23,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000225","S1",22,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000226","S1",22,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000227","S1",19,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000228","S1",21,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000229","S1",23,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000230","S1",24,1,0,"Multiple races",0,1,0,1,0,0
"Survey1Emerging000231","S1",21,1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000232","S1",25,1,0,"Multiple races",1,1,0,0,0,0
"Survey1Emerging000233","S1",25,-1,0,"Choose one or more races that you consider yourself to be. - Asian or Asian American",0,0,0,1,0,0
"Survey1Emerging000234","S1",22,-1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000235","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
